,hh_HFIA_cat,hh_HFIA_cat_full,region
1,1,Food.secure,Amhara
2,1,Food.secure,Amhara
3,1,Food.secure,Amhara
4,1,Food.secure,Amhara
5,1,Food.secure,Amhara
6,1,Food.secure,Amhara
7,1,Food.secure,Amhara
8,1,Food.secure,Amhara
9,1,Food.secure,Amhara
10,1,Food.secure,Amhara
11,1,Food.secure,Amhara
12,1,Food.secure,Amhara
13,1,Food.secure,Amhara
14,1,Food.secure,Amhara
15,1,Food.secure,Amhara
16,1,Food.secure,Amhara
17,1,Food.secure,Amhara
18,1,Food.secure,Amhara
19,1,Food.secure,Amhara
20,1,Food.secure,Amhara
21,1,Food.secure,Amhara
22,1,Food.secure,Amhara
23,1,Food.secure,Amhara
24,3,Moderately.food.insecure.access,Amhara
25,1,Food.secure,Amhara
26,1,Food.secure,Amhara
27,1,Food.secure,Amhara
28,1,Food.secure,Amhara
29,1,Food.secure,Amhara
30,1,Food.secure,Amhara
31,4,Severely.food.insecure.access,Amhara
32,3,Moderately.food.insecure.access,Amhara
33,2,Mildly.food.insecure.access,Amhara
34,2,Mildly.food.insecure.access,Amhara
35,3,Moderately.food.insecure.access,Amhara
36,4,Severely.food.insecure.access,Amhara
37,4,Severely.food.insecure.access,Amhara
38,4,Severely.food.insecure.access,Amhara
39,4,Severely.food.insecure.access,Amhara
40,4,Severely.food.insecure.access,Amhara
41,4,Severely.food.insecure.access,Amhara
42,3,Moderately.food.insecure.access,Amhara
43,4,Severely.food.insecure.access,Amhara
44,2,Mildly.food.insecure.access,Amhara
45,4,Severely.food.insecure.access,Amhara
46,1,Food.secure,Oromia
47,1,Food.secure,Oromia
48,1,Food.secure,Oromia
49,1,Food.secure,Oromia
50,1,Food.secure,Oromia
51,1,Food.secure,Oromia
52,1,Food.secure,Oromia
53,1,Food.secure,Oromia
54,1,Food.secure,Oromia
55,4,Severely.food.insecure.access,Amhara
56,1,Food.secure,Amhara
57,1,Food.secure,Amhara
58,1,Food.secure,Amhara
59,1,Food.secure,Amhara
60,3,Moderately.food.insecure.access,Amhara
61,3,Moderately.food.insecure.access,Amhara
62,2,Mildly.food.insecure.access,Amhara
63,2,Mildly.food.insecure.access,Amhara
64,3,Moderately.food.insecure.access,Amhara
65,2,Mildly.food.insecure.access,Amhara
66,2,Mildly.food.insecure.access,Amhara
67,1,Food.secure,Amhara
68,1,Food.secure,Amhara
69,1,Food.secure,Amhara
70,1,Food.secure,Amhara
71,4,Severely.food.insecure.access,Amhara
72,1,Food.secure,Amhara
73,3,Moderately.food.insecure.access,Amhara
74,1,Food.secure,Amhara
75,3,Moderately.food.insecure.access,Amhara
76,3,Moderately.food.insecure.access,Amhara
77,2,Mildly.food.insecure.access,Amhara
78,1,Food.secure,Amhara
79,2,Mildly.food.insecure.access,Amhara
80,2,Mildly.food.insecure.access,Amhara
81,2,Mildly.food.insecure.access,Amhara
82,1,Food.secure,Amhara
83,1,Food.secure,Amhara
84,1,Food.secure,Amhara
85,1,Food.secure,Amhara
86,2,Mildly.food.insecure.access,Amhara
87,3,Moderately.food.insecure.access,Amhara
88,2,Mildly.food.insecure.access,Amhara
89,4,Severely.food.insecure.access,Amhara
90,4,Severely.food.insecure.access,Amhara
91,1,Food.secure,Amhara
92,3,Moderately.food.insecure.access,Amhara
93,1,Food.secure,Amhara
94,3,Moderately.food.insecure.access,Amhara
95,1,Food.secure,Amhara
96,1,Food.secure,Amhara
97,1,Food.secure,Amhara
98,1,Food.secure,Amhara
99,2,Mildly.food.insecure.access,Amhara
100,1,Food.secure,Amhara
101,1,Food.secure,Amhara
102,1,Food.secure,Amhara
103,3,Moderately.food.insecure.access,Amhara
104,1,Food.secure,Amhara
105,1,Food.secure,Amhara
106,1,Food.secure,Amhara
107,1,Food.secure,Amhara
108,2,Mildly.food.insecure.access,Amhara
109,1,Food.secure,Amhara
110,1,Food.secure,Amhara
111,1,Food.secure,Amhara
112,1,Food.secure,Amhara
113,4,Severely.food.insecure.access,Amhara
114,1,Food.secure,Amhara
115,1,Food.secure,Amhara
116,3,Moderately.food.insecure.access,Amhara
117,4,Severely.food.insecure.access,Amhara
118,1,Food.secure,Amhara
119,4,Severely.food.insecure.access,Amhara
120,3,Moderately.food.insecure.access,Amhara
121,1,Food.secure,Amhara
122,2,Mildly.food.insecure.access,Amhara
123,3,Moderately.food.insecure.access,Amhara
124,3,Moderately.food.insecure.access,Amhara
125,1,Food.secure,Amhara
126,1,Food.secure,Amhara
127,1,Food.secure,Amhara
128,1,Food.secure,Amhara
129,4,Severely.food.insecure.access,Amhara
130,3,Moderately.food.insecure.access,Amhara
131,2,Mildly.food.insecure.access,Amhara
132,2,Mildly.food.insecure.access,Amhara
133,1,Food.secure,Amhara
134,1,Food.secure,Amhara
135,2,Mildly.food.insecure.access,Amhara
136,2,Mildly.food.insecure.access,Amhara
137,1,Food.secure,Amhara
138,1,Food.secure,Amhara
139,1,Food.secure,Amhara
140,3,Moderately.food.insecure.access,Amhara
141,1,Food.secure,Amhara
142,1,Food.secure,Amhara
143,1,Food.secure,Amhara
144,1,Food.secure,Amhara
145,1,Food.secure,Amhara
146,1,Food.secure,Amhara
147,1,Food.secure,Amhara
148,1,Food.secure,Amhara
149,1,Food.secure,Amhara
150,1,Food.secure,Amhara
151,1,Food.secure,Amhara
152,1,Food.secure,Amhara
153,1,Food.secure,Amhara
154,1,Food.secure,Amhara
155,1,Food.secure,Amhara
156,1,Food.secure,Amhara
157,1,Food.secure,Amhara
158,1,Food.secure,Oromia
159,1,Food.secure,Oromia
160,1,Food.secure,Oromia
161,1,Food.secure,Oromia
162,1,Food.secure,Oromia
163,1,Food.secure,Oromia
164,1,Food.secure,Oromia
165,2,Mildly.food.insecure.access,Oromia
166,1,Food.secure,Oromia
167,1,Food.secure,Oromia
168,1,Food.secure,Oromia
169,1,Food.secure,Oromia
170,3,Moderately.food.insecure.access,Oromia
171,1,Food.secure,Oromia
172,2,Mildly.food.insecure.access,Oromia
173,1,Food.secure,Oromia
174,1,Food.secure,Oromia
175,1,Food.secure,Oromia
176,1,Food.secure,Oromia
177,1,Food.secure,Oromia
178,1,Food.secure,Oromia
179,1,Food.secure,Oromia
180,1,Food.secure,Oromia
181,1,Food.secure,Oromia
182,1,Food.secure,Oromia
183,1,Food.secure,Oromia
184,1,Food.secure,Oromia
185,1,Food.secure,Oromia
186,1,Food.secure,Oromia
187,1,Food.secure,Oromia
188,2,Mildly.food.insecure.access,Oromia
189,1,Food.secure,Oromia
190,2,Mildly.food.insecure.access,Oromia
191,2,Mildly.food.insecure.access,Oromia
192,2,Mildly.food.insecure.access,Oromia
193,2,Mildly.food.insecure.access,Oromia
194,1,Food.secure,Oromia
195,1,Food.secure,Oromia
196,1,Food.secure,Oromia
197,2,Mildly.food.insecure.access,Oromia
198,3,Moderately.food.insecure.access,Oromia
199,2,Mildly.food.insecure.access,Oromia
200,2,Mildly.food.insecure.access,Oromia
201,1,Food.secure,Oromia
202,2,Mildly.food.insecure.access,Oromia
203,2,Mildly.food.insecure.access,Oromia
204,3,Moderately.food.insecure.access,Oromia
205,3,Moderately.food.insecure.access,Oromia
206,2,Mildly.food.insecure.access,Oromia
207,1,Food.secure,Oromia
208,2,Mildly.food.insecure.access,Oromia
209,4,Severely.food.insecure.access,Oromia
210,2,Mildly.food.insecure.access,Oromia
211,3,Moderately.food.insecure.access,Oromia
212,3,Moderately.food.insecure.access,Oromia
213,3,Moderately.food.insecure.access,Oromia
214,2,Mildly.food.insecure.access,Oromia
215,1,Food.secure,Oromia
216,3,Moderately.food.insecure.access,Oromia
217,2,Mildly.food.insecure.access,Oromia
218,2,Mildly.food.insecure.access,Oromia
219,1,Food.secure,Oromia
220,2,Mildly.food.insecure.access,Oromia
221,1,Food.secure,Oromia
222,3,Moderately.food.insecure.access,Oromia
223,3,Moderately.food.insecure.access,Oromia
224,2,Mildly.food.insecure.access,Oromia
225,3,Moderately.food.insecure.access,Oromia
226,3,Moderately.food.insecure.access,Oromia
227,3,Moderately.food.insecure.access,Oromia
228,2,Mildly.food.insecure.access,Oromia
229,2,Mildly.food.insecure.access,Oromia
230,2,Mildly.food.insecure.access,Oromia
231,2,Mildly.food.insecure.access,Oromia
232,2,Mildly.food.insecure.access,Oromia
233,2,Mildly.food.insecure.access,Oromia
234,2,Mildly.food.insecure.access,Oromia
235,2,Mildly.food.insecure.access,Oromia
236,3,Moderately.food.insecure.access,Oromia
237,4,Severely.food.insecure.access,Oromia
238,1,Food.secure,Oromia
239,1,Food.secure,Oromia
240,1,Food.secure,Oromia
241,1,Food.secure,Oromia
242,1,Food.secure,Oromia
243,1,Food.secure,Oromia
244,2,Mildly.food.insecure.access,Oromia
245,1,Food.secure,Oromia
246,1,Food.secure,Oromia
247,1,Food.secure,Oromia
248,1,Food.secure,Oromia
249,4,Severely.food.insecure.access,Oromia
250,1,Food.secure,Oromia
251,1,Food.secure,Oromia
252,3,Moderately.food.insecure.access,Oromia
253,2,Mildly.food.insecure.access,Oromia
254,2,Mildly.food.insecure.access,Oromia
255,1,Food.secure,Oromia
256,1,Food.secure,Oromia
257,1,Food.secure,Oromia
258,1,Food.secure,Oromia
259,3,Moderately.food.insecure.access,Oromia
260,1,Food.secure,Oromia
261,1,Food.secure,Oromia
262,1,Food.secure,Oromia
263,2,Mildly.food.insecure.access,Oromia
264,1,Food.secure,Oromia
265,3,Moderately.food.insecure.access,Oromia
266,2,Mildly.food.insecure.access,Oromia
267,1,Food.secure,Oromia
268,1,Food.secure,SNNPR
269,1,Food.secure,SNNPR
270,2,Mildly.food.insecure.access,SNNPR
271,1,Food.secure,SNNPR
272,1,Food.secure,SNNPR
273,1,Food.secure,SNNPR
274,1,Food.secure,Oromia
275,1,Food.secure,Oromia
276,1,Food.secure,Oromia
277,1,Food.secure,Oromia
278,1,Food.secure,Oromia
279,1,Food.secure,Oromia
280,1,Food.secure,Oromia
281,1,Food.secure,Oromia
282,1,Food.secure,Oromia
283,1,Food.secure,Oromia
284,1,Food.secure,Oromia
285,1,Food.secure,Oromia
286,1,Food.secure,Oromia
287,1,Food.secure,Oromia
288,1,Food.secure,Oromia
289,1,Food.secure,Oromia
290,1,Food.secure,Oromia
291,1,Food.secure,Oromia
292,3,Moderately.food.insecure.access,Oromia
293,1,Food.secure,Oromia
294,1,Food.secure,Oromia
295,1,Food.secure,Oromia
296,2,Mildly.food.insecure.access,Oromia
297,1,Food.secure,Oromia
298,1,Food.secure,Oromia
299,1,Food.secure,Oromia
300,1,Food.secure,Oromia
301,1,Food.secure,Oromia
302,1,Food.secure,Oromia
303,1,Food.secure,Oromia
304,3,Moderately.food.insecure.access,Oromia
305,2,Mildly.food.insecure.access,Oromia
306,1,Food.secure,Oromia
307,1,Food.secure,Oromia
308,1,Food.secure,Oromia
309,1,Food.secure,Oromia
310,1,Food.secure,Oromia
311,2,Mildly.food.insecure.access,Oromia
312,2,Mildly.food.insecure.access,Oromia
313,1,Food.secure,Oromia
314,1,Food.secure,SNNPR
315,2,Mildly.food.insecure.access,SNNPR
316,2,Mildly.food.insecure.access,SNNPR
317,3,Moderately.food.insecure.access,SNNPR
318,3,Moderately.food.insecure.access,SNNPR
319,4,Severely.food.insecure.access,SNNPR
320,1,Food.secure,SNNPR
321,1,Food.secure,Oromia
322,1,Food.secure,Oromia
323,2,Mildly.food.insecure.access,Oromia
324,1,Food.secure,Oromia
325,3,Moderately.food.insecure.access,SNNPR
326,3,Moderately.food.insecure.access,SNNPR
327,2,Mildly.food.insecure.access,SNNPR
328,2,Mildly.food.insecure.access,SNNPR
329,2,Mildly.food.insecure.access,SNNPR
330,3,Moderately.food.insecure.access,SNNPR
331,3,Moderately.food.insecure.access,SNNPR
332,1,Food.secure,SNNPR
333,3,Moderately.food.insecure.access,SNNPR
334,4,Severely.food.insecure.access,SNNPR
335,3,Moderately.food.insecure.access,SNNPR
336,2,Mildly.food.insecure.access,SNNPR
337,4,Severely.food.insecure.access,SNNPR
338,3,Moderately.food.insecure.access,SNNPR
339,3,Moderately.food.insecure.access,SNNPR
340,1,Food.secure,Oromia
341,1,Food.secure,Tigray
342,1,Food.secure,Tigray
343,1,Food.secure,Tigray
344,1,Food.secure,Tigray
345,1,Food.secure,Tigray
346,1,Food.secure,Tigray
347,2,Mildly.food.insecure.access,Tigray
348,1,Food.secure,Tigray
349,1,Food.secure,Tigray
350,3,Moderately.food.insecure.access,Tigray
351,1,Food.secure,Tigray
352,1,Food.secure,Tigray
353,1,Food.secure,Tigray
354,2,Mildly.food.insecure.access,Tigray
355,2,Mildly.food.insecure.access,Tigray
356,2,Mildly.food.insecure.access,Tigray
357,1,Food.secure,Tigray
358,1,Food.secure,Tigray
359,3,Moderately.food.insecure.access,Tigray
360,3,Moderately.food.insecure.access,Tigray
361,3,Moderately.food.insecure.access,Tigray
362,1,Food.secure,Tigray
363,1,Food.secure,Tigray
364,1,Food.secure,Tigray
365,1,Food.secure,Tigray
366,1,Food.secure,Tigray
367,1,Food.secure,Tigray
368,1,Food.secure,Tigray
369,1,Food.secure,Tigray
370,1,Food.secure,Tigray
371,1,Food.secure,Tigray
372,1,Food.secure,Tigray
373,1,Food.secure,Tigray
374,1,Food.secure,Tigray
375,1,Food.secure,Tigray
376,1,Food.secure,Tigray
377,3,Moderately.food.insecure.access,Tigray
378,1,Food.secure,Tigray
379,1,Food.secure,Tigray
380,1,Food.secure,Tigray
381,1,Food.secure,Tigray
382,3,Moderately.food.insecure.access,Tigray
383,1,Food.secure,Tigray
384,1,Food.secure,Tigray
385,3,Moderately.food.insecure.access,Tigray
386,3,Moderately.food.insecure.access,Tigray
387,1,Food.secure,Tigray
388,1,Food.secure,Tigray
389,1,Food.secure,Tigray
390,1,Food.secure,Tigray
391,1,Food.secure,Tigray
